"code_ccbio","genus","species","common_name","species_symbol","spcd","nb_parcelles","lat_max","essence","ess","nom_latin","nom_francais","famille"
"Piabi","Picea","abies","Norway spruce","PIAB","91","155415","60.494777","","","","",""
"Piban","Pinus","banksiana","jack pine","PIBA2","105","468539","61.484498","PG","PIG","Pinus banksiana Lamb.","Pin gris","Pinaceae"
"Picla","Pinus","clausa","sand pine","PICL","107","269986","61.315297","","","","",""
"Picpun","Picea","pungens","blue spruce","PIPU","96","26382","61.191916","","","","",""
"Piech","Pinus","echinata","shortleaf pine","PIEC2","110","420470","61.198815","","","Pinus echinata Mill.","Pin à feuilles courtes","Pinaceae"
"Piell","Pinus","elliottii","slash pine","PIEL","111","386047","61.191916","","","Pinus elliottii Engelm.","Pin d'Elliott","Pinaceae"
"Pieng","Picea","engelmannii","Engelmann spruce","PIEN","93","1294","48.9","","","","",""
"Piglab","Pinus","glabra","spruce pine","PIGL2","115","291589","61.191916","","","Pinus glabra Walter","Pin de cèdre","Pinaceae"
"Piglau","Picea","glauca","white spruce","PIGL","94","499739","61.449892","EB","EPB","Picea glauca (Moench) Voss","Épinette blanche","Pinaceae"
"Pimar","Picea","mariana","black spruce","PIMA","95","494142","61.513154","EN","EPN","Picea mariana (Mill.) Britton et al.","Épinette noire","Pinaceae"
"Pinig","Pinus","nigra","Austrian pine","PINI","136","21270","60.868085","","","","",""
"Pipal","Pinus","palustris","longleaf pine","PIPA2","121","377879","61.191916","","","Pinus palustris Mill.","Pin des marais","Pinaceae"
"Pipis","Piscidia","piscipula","fishpoison tree","PIPI3","887","415","48.88","","","","",""
"Pipon","Pinus","ponderosa","ponderosa pine","PIPO","122","4761","49.34","","","","",""
"Pipun","Pinus","pungens","Table Mountain pine","PIPU5","123","256810","61.191916","","","Pinus pungens Lamb.","Pin de plateau","Pinaceae"
"Pires","Pinus","resinosa","red pine","PIRE","125","476992","61.484498","PR","PIR","Pinus resinosa Aiton","Pin rouge","Pinaceae"
"Pirig","Pinus","rigida","pitch pine","PIRI","126","374132","61.191916","PC","PID","Pinus rigida Mill.","Pin rigide","Pinaceae"
"Pirub","Picea","rubens","red spruce","PIRU","97","411736","61.513154","EU","EPR","Picea rubens Sarg.","Épinette rouge","Pinaceae"
"Piser","Pinus","serotina","pond pine","PISE","128","340150","61.191916","","","Pinus serotina Michx.","Pin des mares","Pinaceae"
"Pistr","Pinus","strobus","eastern white pine","PIST","129","562530","61.484498","PB","PIB","Pinus strobus L.","Pin blanc","Pinaceae"
"Pisyl","Pinus","sylvestris","Scotch pine","PISY","130","290541","61.103998","","","","",""
"Pitae","Pinus","taeda","loblolly pine","PITA","131","406851","61.355507","","","Pinus taeda L.","Pin taeda","Pinaceae"
"Pivir","Pinus","virginiana","Virginia pine","PIVI2","132","389796","61.449892","","","Pinus virginiana Mill.","Pin de Virginie","Pinaceae"
"Plaqu","Planera","aquatica","water-elm, planertree","PLAQ","722","215155","61.191916","","","Planera aquatica J.F. Gmel.","Orme des marécages","Ulmaceae"
"Plocc","Platanus","occidentalis","American sycamore","PLOC","731","421411","61.198815","PV","","Platanus occidentalis L.","Platane d'Amérique","Platanaceae"
"Poalb","Populus","alba","silver poplar","POAL7","752","6275","55.613821","","","","",""
"Pobal","Populus","balsamifera","balsam poplar","POBA2","741","487053","61.484498","PA","PEB","Populus balsamifera L.","Peuplier baumier","Salicaceae"
"Podel","Populus","deltoides","eastern cottonwood","PODE3","742","375797","61.191916","PL","PED","Populus deltoides W. Bartram ex Marshall","Peuplier deltoïde","Salicaceae"
"Pogra","Populus","grandidentata","bigtooth aspen","POGR4","743","494114","61.449892","PD","PEG","Populus grandidentata Michx.","Peuplier à grandes dents","Salicaceae"
"Pohet","Populus","heterophylla","swamp cottonwood","POHE4","744","131986","60.416825","","","","",""
"Ponig","Populus","nigra","Lombardy poplar","PONI","753","556","49.305416","","","","",""
"Potre","Populus","tremuloides","quaking aspen","POTR5","746","523427","61.484498","PT","PET","Populus tremuloides Michx.","Peuplier faux-tremble","Salicaceae"
"Prame","Prunus","americana","American plum","PRAM","766","273746","61.191916","","","Prunus americana Marsh.","Prunier d'Amérique","Rosaceae"
"Pravi","Prunus","avium","sweet cherry, domesticated","PRAV","771","82402","61.292216","","","","",""
"Prcer","Prunus","cerasus","sour cherry, domesticated","PRCE","772","795","60.340916","","","","",""
"Prnig","Prunus","nigra","Canada plum","PRNI","765","8922","61.191916","","","","",""
"Prpen","Prunus","pensylvanica","pin cherry","PRPE2","761","420931","61.33211","","","Prunus pensylvanica L. f.","Cerisier de Pennsylvanie","Rosaceae"
"Prper","Prunus","persica","peach","PRPE3","764","5350","49.35","","","","",""
"Prser","Prunus","serotina","black cherry","PRSE2","762","582984","61.373918","CT","CET","Prunus serotina Ehrh.","Cerisier noir","Rosaceae"
"Prvir","Prunus","virginiana","chokecherry","PRVI","763","428943","61.411785","","","","",""
"Psmen","Pseudotsuga","menziesii","Douglas-fir","PSME","202","15067","60.700395","","","","",""
"Qualb","Quercus","alba","white oak","QUAL","802","562003","61.449892","CB","CHB","Quercus alba L.","Chêne blanc","Fagaceae"
"Qubic","Quercus","bicolor","swamp white oak","QUBI","804","385258","61.191916","CI","CHE","Quercus bicolor Willd.","Chêne bicolore","Fagaceae"
"Qucoc","Quercus","coccinea","scarlet oak","QUCO2","806","501318","61.223755","","","Quercus coccinea Münchh.","Chêne écarlate","Fagaceae"
"Qudou","Quercus","douglasii","blue oak","QUDO","807","61222","48.978378","","","","",""
"Quell","Quercus","ellipsoidalis","northern pin oak","QUEL","809","431256","61.354273","","","Quercus ellipsoidalis E.J. Hill","Chêne ellipsoïdal","Fagaceae"
"Qufal","Quercus","falcata","southern red oak","QUFA","812","408239","61.259813","","","Quercus falcata Michx.","Chêne digité","Fagaceae"
"Quili","Quercus","ilicifolia","scrub oak","QUIL","816","119088","61.142771","","","Quercus ilicifolia Wangenh.","Chêne à feuilles de houx","Fagaceae"
"Quimb","Quercus","imbricaria","shingle oak","QUIM","817","338341","61.193265","","","Quercus imbricata Buch.-Ham. ex D.Don","Chêne imbriqué","Fagaceae"
"Quinc","Quercus","incana","bluejack oak","QUIN","842","249109","61.191916","","","","",""
"Qulae","Quercus","laevis","turkey oak","QULA2","819","329180","61.315297","","","Quercus laevis Walter","Chêne turkey","Fagaceae"
"Qulau","Quercus","laurifolia","laurel oak","QULA3","820","373343","61.191916","","","Quercus laurifolia Michx.","Chêne à feuilles de laurier","Fagaceae"
"Qulyr","Quercus","lyrata","overcup oak","QULY","822","316093","61.191916","","","Quercus lyrata Walter","Chêne lyré","Fagaceae"
"Qumac","Quercus","macrocarpa","bur oak","QUMA2","823","496529","61.484498","CG","CHG","Quercus macrocarpa Michx.","Chêne à gros fruits","Fagaceae"
"Qumarg","Quercus","margarettiae","dwarf post oak","QUMA6","840","307369","61.191916","","","","",""
"Qumari","Quercus","marilandica","blackjack oak","QUMA3","824","419905","61.191916","","","","",""
"Qumic","Quercus","michauxii","swamp chestnut oak","QUMI","825","325587","61.191916","","","Quercus michauxii Nutt.","Chêne des montagnes","Fagaceae"
"Qumin","Quercus","minima","dwarf live oak","QUMI2","841","241769","61.191916","","","","",""
"Qumue","Quercus","muehlenbergii","chinkapin oak","QUMU","826","394973","61.191916","","","Quercus muehlenbergii Engelm.","Chêne jaune","Fagaceae"
"Qunig","Quercus","nigra","water oak","QUNI","827","386468","61.191916","","","Quercus nigra L.","Chêne aquatique","Fagaceae"
"Quogl","Quercus","oglethorpensis","Oglethorpe oak","QUOG","844","5832","49.28","","","","",""
"Qupag","Quercus","pagoda","cherrybark oak","QUPA5","813","333831","61.191916","","","","",""
"Qupal","Quercus","palustris","pin oak","QUPA2","830","371980","61.191916","","","Quercus palustris Muenchh.","Chêne des marais","Fagaceae"
"Quphe","Quercus","phellos","willow oak","QUPH","831","357839","61.191916","","","Quercus phellos L.","Chêne à feuilles de saule","Fagaceae"
"Qupri","Quercus","prinus","chestnut oak","QUPR2","832","441432","61.484498","","","Quercus prinus L.","Chêne châtaignier","Fagaceae"
"Qurub","Quercus","rubra","northern red oak","QURU","833","577473","61.484498","CR","CHR","Quercus rubra L.","Chêne rouge","Fagaceae"
"Qushu","Quercus","shumardii","Shumard oak","QUSH","834","320320","61.191916","","","Quercus shumardii Buckl.","Chêne de Shumard","Fagaceae"
"Qusim","Quercus","similis","Delta post oak","QUSI2","836","79729","61.191916","","","","",""
"Quste","Quercus","stellata","post oak","QUST","835","455259","61.259813","","","Quercus stellata Wangenh.","Chêne étoilé","Fagaceae"
"Qutex","Quercus","texana","Texas red oak","QUTE","828","235112","61.191916","","","","",""
"Quvel","Quercus","velutina","black oak","QUVE","837","543991","61.484498","","","Quercus velutina Lam.","Chêne des teinturiers","Fagaceae"
"Quvir","Quercus","virginiana","live oak","QUVI","838","347959","61.315297","","","Quercus virginiana Mill.","Chêne de Virginie","Fagaceae"
"Rhman","Rhizophora","mangle","American mangrove","RHMA2","989","33021","49.34","","","","",""
"Ropse","Robinia","pseudoacacia","black locust","ROPS","901","465494","61.484498","RF","","Robinia pseudoacacia L.","Robinier faux-acacia","Fabaceae"
"Saalb","Sassafras","albidum","sassafras","SAAL5","931","507507","61.449892","","","Sassafras albidum (Nutt.) Nees","Sassafras officinal","Lauraceae"
"Saalba","Salix","alba","white willow","SAAL2","927","16625","59.934828","","","","",""
"Saamy","Salix","amygdaloides","peachleaf willow","SAAM2","921","79645","61.103998","","","","",""
"Sabeb","Salix","bebbiana","Bebb willow","SABE2","923","86326","61.191916","","","","",""
"Sacar","Salix","caroliniana","coastal plain willow","SACA5","925","132281","61.191916","","","","",""
"Sanig","Salix","nigra","black willow","SANI","922","379913","61.411785","","","Salix nigra Marsh.","Saule noir","Salicaceae"
"Sapal","Sabal","palmetto","cabbage palmetto","SAPA","912","324237","61.191916","","","","",""
"Sapyr","Salix","pyrifolia","balsam willow","SAPY","926","1016","48.96","","","","",""
"Sasep","Salix","sepulcralis","weeping willow","SASE10","929","8742","49.31","","","","",""
"Sisal","Sideroxylon","salicifolium","white bully, willow bustic","SISA6","891","1499","48.99","","","","",""
"Soame","Sorbus","americana","American mountain-ash","SOAM3","935","145897","61.513154","","","Sorbus americana Marsh.","Sorbier d'Amérique","Rosaceae"
"Soauc","Sorbus","aucuparia","European mountain-ash","SOAU","936","2486","56.33168","","","","",""
"Sodec","Sorbus","decora","northern mountain-ash","SODE3","937","125","56.070183","","","","",""
"Swmah","Swietenia","mahagoni","West Indian mahogany","SWMA2","940","611","48.94","","","","",""
"Sycum","Syzygium","cumini","Java plum","SYCU","896","1108","48.96","","","","",""
"Taasc","Taxodium","ascendens","pondcypress","TAAS","222","366461","61.191916","","","","",""
"Tadis","Taxodium","distichum","baldcypress","TADI2","221","343049","61.191916","","","Taxodium distichum (L.) Rich.","Cyprès chauve","Taxodiaceae"
"Thmor","Thrinax","morrisii","key thatch palm","THMO4","913","889","56.024831","","","","",""
"Thocc","Thuja","occidentalis","northern white-cedar","THOC2","241","504354","61.513154","TO","THO","Thuja occidentalis L.","Thuya occidental","Cupressaceae"
"Tiame","Tilia","americana","American basswood","TIAM","951","545269","61.513154","TA","TIA","Tilia americana L.","Tilleul d'Amérique","Malvaceae"
"Trbro","Tree","broadleaf","Unknown dead hardwood","2TB","998","385368","61.315297","","","","",""
"Treve","Tree","evergreen","Unknown dead conifer","2TE","299","14123","60.37582","","","","",""
"Trseb","Triadica","sebifera","Chinese tallowtree","TRSE6","994","195296","61.191916","","","","",""
"Trunk","Tree","unknown","Other or unknown live tree","2TREE","999","408629","61.315297","","","","",""
"Tscan","Tsuga","canadensis","eastern hemlock","TSCA","261","535399","61.484498","PU","PRU","Tsuga canadensis (L.) Carrière","Pruche du Canada","Pinaceae"
"Tscar","Tsuga","caroliniana","Carolina hemlock","TSCA2","262","82761","60.416825","","","","",""
"Ulala","Ulmus","alata","winged elm","ULAL","971","389715","61.198815","","","Ulmus alata Michx.","Orme ailé","Ulmaceae"
"Ulame","Ulmus","americana","American elm","ULAM","972","564626","61.513154","OA","ORA","Ulmus americana L.","Orme d'Amérique","Ulmaceae"
"Ulcra","Ulmus","crassifolia","cedar elm","ULCR","973","143470","61.191916","","","","",""
"Ulpum","Ulmus","pumila","Siberian elm","ULPU","974","112617","61.179359","","","","",""
"Ulrub","Ulmus","rubra","slippery elm","ULRU","975","501565","61.349038","OO","ORR","Ulmus rubra Mühl.","Orme rouge","Ulmaceae"
"Ulser","Ulmus","serotina","September elm","ULSE","976","65573","59.934828","","","","",""
"Ultho","Ulmus","thomasii","rock elm","ULTH","977","305804","61.513154","OT","ORT","Ulmus thomasii Sarg.","Orme liège","Ulmaceae"
"Vefor","Vernicia","fordii","tungoil tree","VEFO","995","33004","60.37582","","","","",""
"","","","","","","","","PF","","Populus alba","Peuplier blanc","Salicaceae"
"","","","","","","","","MH","","","Mélèze hybride",""
"","","","","","","","","MJ","","","Mélèze japonais",""
"","","","","","","","","OR","","","Combinaison des ormes",""
"","","","","","","","","PN","","Populus nigra","Peuplier d'Italie","Salicaceae"
"","","","","","","","","","","Acer platanoïdes","Érable de Norvège","Sapindaceae"
"","","","","","","","","ER","","","Combinaison des érables",""
"","","","","","","","","FH","","","Association de feuillus sur station humide",""
"","","","","","","","","FI","","","Association de feuillus intolérants",""
"","","","","","","","","FN","","","Association de feuillus non commerciaux",""
"","","","","","","","","FT","","","Association de feuillus tolérants",""
"","","","","","","","","FX","","","Feuillus indéterminés",""
"","","","","","","","","FZ","","","Feuillus plantés indéterminés",""
"","","","","","","","","ME","","","Mélèze européen",""
"","","","","","","","","PH","","","Peuplier hybride","Salicaceae"
"","","","","","","","","PI","","","Combinaison des pins",""
"","","","","","","","","PO","","","Peuplier européen","Salicaceae"
"","","","","","","","","PE","","","Combinaison des peupliers",""
"","","","","","","","","RZ","","","Résineux plantés indéterminés",""
"","","","","","","","","SE","","","Association de sapin et d'épinette blanche",""
"","","","","","","","","CP","","Quercus pedonculata","Chêne pédonculé","Fagaceae"
"","","","","","","","","EV","","Picea abies","Épinette de Norvège","Pinaceae"
"","","","","","","","","CH","","","Combinaison des chênes",""
"","","","","","","","","EP","","","Combinaison des épinettes",""
"","","","","","","","","PS","","Pinus sylvestris","Pin sylvestre (d'Écosse)","Pinaceae"
"","","","","","","","","RX","","","Résineux indéterminés",""
